ID,Address,Latitude,Longitude,Area of Rain Garden,unit of size
1,"8500 Dixon Street, New Orleans, LA 70118",29.97134184,-90.11320233,2223,sq. ft
2,"9005 Olive Street, New Orleans, LA 70118",29.97015678,-90.12029635,3600,sq. ft
3,"8729-8731 Olive Street, New Orleans, LA 70118",29.96933254,-90.11770937,3600,sq. ft
4,"9325 Forshey Street, New Orleans, LA 70118",29.97277845,-90.1234074,3360,sq. ft
5,"9000 Oleander Street, New Orleans, LA 70118",29.96950001,-90.12169203,4838,sq. ft
6,"3304 Monroe Street, New Orleans 70118",29.96780093,-90.11839539,7550,sq. ft
7,"3210 Delachaise St, New Orleans, LA 70125",29.94454569,-90.09906297,5911,sq. ft
8,"2525 S Johnson St, New Orleans, LA 70125",29.94864837,-90.0944039,3000,sq. ft
9,"3609 First St. New Orleans, LA 70135",29.94962395,-90.09485761,2400,sq. ft
10,"60 Morrison Ct. New Orleans, LA 70127",30.03757207,-89.99560789,5038,sq. ft
11,"3317 Fourth St New Orleans, LA 70125",29.94667536,-90.09553265,3360,sq. ft
12,3926 Second St,29.95194615,-90.09783535,4205,sq. ft
13,2814 S. Johnson St.,29.94602569,-90.09694539,1830,sq. ft
14,2616 S. Johnson,29.94686379,-90.09572304,1830,sq. ft
15,1653-59 N. Broad,29.98170197,-90.0750384,11520,sq. ft
16,2609 Onzaga St.,29.98142908,-90.07476445,1568,sq. ft
17,1813-15 Dumaine St.,29.96749422,-90.07307635,3850,sq. ft
18,1811 Dumaine St.,29.96760903,-90.07292672,1980,sq. ft
19,4716-18 Rosemont,30.01960145,-90.00060434,5282,sq. ft
20,4749-61 Rosemont,30.02018453,-90.00021877,6832,sq. ft
21,4737 Virgilian,30.01700425,-90.01675034,5590,sq. ft
22,4119 N Johnson,29.97578194,-90.03116748,5100,sq. ft
23,1509 Gallier,29.97193144,-90.03794442,5520,sq. ft
24,2439 Congress,29.98181902,-90.03424995,120x30,sq. ft
25,822 Bartholomew,29.96408857,-90.03663554,4681,sq. ft
26,5130 Pauline,30.01517349,-90.03258166,5000,sq. ft
27,2542 Benton,29.97658753,-90.00645375,2380,sq. ft
28,5842 Whipple,29.97654404,-90.00767042,5313,sq. ft
29,5812 Whipple,29.97671618,-90.00788435,2310,sq. ft
30,5843 N Dorgenois,29.97634799,-90.00762646,2310,sq. ft
31,1750 Tennessee,29.97097474,-90.02074899,5160,sq. ft
32,1752 Tennessee,29.97101309,-90.02074185,3600,sq. ft
33,"1314 Elysian Fields Avenue, New Orleans, LA",29.97181678,-90.05734417,2163,sq. ft
34,2221 St Claude,29.97007436,-90.05630626,4320,sq. ft
35,"5227 Chartres St, New Orleans, LA 70117",29.9583402,-90.02192006,7426,sq. ft
36,"1901 Caffin Ave, New Orleans, LA 70117",29.97084767,-90.0129379,3875,sq. ft
37,"5400 Douglas St. New Orleans, LA 70117",29.95689048,-90.0201284,4800,sq. ft
38,"4817 Dauphine St. New Orleans, LA 70117",29.96159024,-90.02580293,4200,sq. ft
39,"2639 Caffin Ave. New Orleans, LA 70117",29.97862216,-90.01011514,3875,sq. ft
40,"2640 Lamanche St. New Orleans, LA 70117",29.97885956,-90.01006112,3875,sq. ft